Chapter,Disease,ID,,,,ICD9_CODE,TA,SHORT_TITLE,Count of HADM_ID,Adverse Effect,Disease,,
460-519,Food/vomit pneumonitis,460-519Food/vomit pneumonitis,,,,0053,001-139,Food pois: clostrid NEC,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
460-519,Pleural effusion NOS,460-519Pleural effusion NOS,,,,0054,001-139,Food pois: v. parahaem,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
460-519,Pneumonia,460-519Pneumonia,,,,00589,001-139,Bact food poisoning NEC,0,-,Bacterial Infection,001-139Bacterial Infection,001-139Bacterial Infection
460-519,Sleep apnea,460-519Sleep apnea,,,,53081,520-579,Esophageal reflux,6324,-,Esophageal reflux,520-579Esophageal reflux,520-579Esophageal reflux
520-579,Acute liver failure,520-579Acute liver failure,,,,V053,E_V,Need prphyl vc vrl hepat,5779,-,E_V,E_VE_V,#N/A
520-579,Esophageal reflux,520-579Esophageal reflux,,,,V290,E_V,NB obsrv suspct infect,5519,-,E_V,E_VE_V,#N/A
520-579,Gastrointest hemorr NOS,520-579Gastrointest hemorr NOS,,,,99592,800-999,Severe sepsis,3912,-,Severe sepsis,800-999Severe sepsis,800-999Severe sepsis
520-579,Liver cirrhosis,520-579Liver cirrhosis,,,,V5861,E_V,Long-term use anticoagul,3805,-,E_V,E_VE_V,#N/A
520-579,Paralysis,520-579Paralysis,,,,5070,460-519,Food/vomit pneumonitis,3680,-,Food/vomit pneumonitis,460-519Food/vomit pneumonitis,460-519Food/vomit pneumonitis
580-629,Chronic Renal Failure,580-629Chronic Renal Failure,,,,V3000,E_V,Single lb in-hosp w/o cs,3566,-,E_V,E_VE_V,#N/A
580-629,Renal disease/ Renal insufficiency,580-629Renal disease/ Renal insufficiency,,,,40390,390-459,Hy kid NOS w cr kid I-IV,3421,-,Hy kid NOS w cr kid I-IV,390-459Hy kid NOS w cr kid I-IV,#N/A
580-629,"Urinary tract infection, site not specified","580-629Urinary tract infection, site not specified",,,,3051,290-319,Tobacco use disorder,3358,-,Tobacco use disorder,290-319Tobacco use disorder,290-319Tobacco use disorder
630-679--740-759--760-779,Neonat jaund preterm del,630-679--740-759--760-779Neonat jaund preterm del,,,,2859,280-289,Anemia NOS,5405,-,Anemia,280-289Anemia,280-289Anemia
630-679--740-759--760-779,Preterm NEC 2000-2499g,630-679--740-759--760-779Preterm NEC 2000-2499g,,,,V4581,E_V,Aortocoronary bypass,3056,-,E_V,E_VE_V,#N/A
630-679--740-759--760-779,Primary apnea of newborn,630-679--740-759--760-779Primary apnea of newborn,,,,V1582,E_V,History of tobacco use,2811,-,E_V,E_VE_V,#N/A
630-679--740-759--760-779,Respiratory distress syn,630-679--740-759--760-779Respiratory distress syn,,,,V3001,E_V,Single lb in-hosp w cs,2758,-,E_V,E_VE_V,#N/A
710-739,Osteoarthritis,710-739Osteoarthritis,,,,5119,460-519,Pleural effusion NOS,2734,-,Pleural effusion NOS,460-519Pleural effusion NOS,460-519Pleural effusion NOS
710-739,Osteoporosis,710-739Osteoporosis,,,,V4582,E_V,Status-post ptca,2725,-,E_V,E_VE_V,#N/A
780-799,Ascites NEC,780-799Ascites NEC,,,,40391,390-459,Hyp kid NOS w cr kid V,2630,-,Hyp kid NOS w cr kid V,390-459Hyp kid NOS w cr kid V,#N/A
780-799,Bacteremia,780-799Bacteremia,,,,78552,780-799,Septic shock,2586,-,Septic shock,780-799Septic shock,780-799Septic shock
780-799,Convulsions NEC,780-799Convulsions NEC,,,,V5867,E_V,Long-term use of insulin,2538,-,E_V,E_VE_V,#N/A
780-799,Hypoxemia,780-799Hypoxemia,,,,9971,800-999,Surg compl-heart,2343,-,Surg compl-heart,800-999Surg compl-heart,#N/A
780-799,Septic shock,780-799Septic shock,,,,7742,630_679__740_759__760_779,Neonat jaund preterm del,2264,-,Neonat jaund preterm del,630_679__740_759__760_779Neonat jaund preterm del,#N/A
800-999,Hemorrhage complic proc,800-999Hemorrhage complic proc,,,,5180,460-519,Pulmonary collapse,2165,-,Pulmonary collapse,460-519Pulmonary collapse,#N/A
800-999,Other postop infection,800-999Other postop infection,,,,45829,390-459,Iatrogenc hypotnsion NEC,2121,-,Iatrogenc hypotnsion NEC,390-459Iatrogenc hypotnsion NEC,#N/A
800-999,Sepsis,800-999Sepsis,,,,2749,240-279,Gout NOS,2082,-,Gout NOS,240-279Gout NOS,#N/A
800-999,Severe sepsis,800-999Severe sepsis,,,,4589,390-459,Hypotension NOS,2051,-,Hypotension NOS,390-459Hypotension NOS,#N/A
adverse_effect,Edema,adverse_effectEdema,,,,V502,E_V,Routine circumcision,2016,-,E_V,E_VE_V,#N/A
adverse_effect,Hypercholesterolemia ,adverse_effectHypercholesterolemia ,,,,78039,780-799,Convulsions NEC,1934,-,Convulsions NEC,780-799Convulsions NEC,780-799Convulsions NEC
adverse_effect,Hyperglycemia,adverse_effectHyperglycemia,,,,4254,390-459,Prim cardiomyopathy NEC,1709,-,Prim cardiomyopathy NEC,390-459Prim cardiomyopathy NEC,#N/A
adverse_effect,Thrombocytopenia,adverse_effectThrombocytopenia,,,,V1251,E_V,Hx-ven thrombosis/embols,1611,-,E_V,E_VE_V,#N/A
adverse_effect,Others,adverse_effectOthers,,,,3572,320-389,Neuropathy in diabetes,1584,-,Neuropathy in diabetes,320-389Neuropathy in diabetes,320-389Neuropathy in diabetes
E_V,History of tobacco use,E_VHistory of tobacco use,,,,30000,290-319,Anxiety state NOS,1580,-,Anxiety state NOS,290-319Anxiety state NOS,290-319Anxiety state NOS
E_V,Long-term use anticoagul,E_VLong-term use anticoagul,,,,99811,800-999,Hemorrhage complic proc,1535,-,Hemorrhage complic proc,800-999Hemorrhage complic proc,800-999Hemorrhage complic proc
E_V,Long-term use of insulin,E_VLong-term use of insulin,,,,E8798,E_V,Abn react-procedure NEC,1502,-,E_V,E_VE_V,#N/A
E_V,NB obsrv suspct infect,E_VNB obsrv suspct infect,,,,60000,580-629,BPH w/o urinary obs/LUTS,1490,-,BPH w/o urinary obs/LUTS,580-629BPH w/o urinary obs/LUTS,#N/A
E_V,Need prphyl vc vrl hepat,E_VNeed prphyl vc vrl hepat,,,,7907,780-799,Bacteremia,1478,-,Bacteremia,780-799Bacteremia,780-799Bacteremia
E_V,Single lb in-hosp w cs,E_VSingle lb in-hosp w cs,,,,00845,001-139,Int inf clstrdium dfcile,1444,-,Int inf clstrdium dfcile,001-139Int inf clstrdium dfcile,001-139Int inf clstrdium dfcile
E_V,Single lb in-hosp w/o cs,E_VSingle lb in-hosp w/o cs,,,,5789,520-579,Gastrointest hemorr NOS,1397,-,Gastrointest hemorr NOS,520-579Gastrointest hemorr NOS,520-579Gastrointest hemorr NOS
,,,,,,V4501,E_V,Status cardiac pacemaker,1390,-,E_V,E_VE_V,#N/A
,,,,,,431,390-459,Intracerebral hemorrhage,1367,-,Intracerebral hemorrhage,390-459Intracerebral hemorrhage,#N/A
,,,,,,E8788,E_V,Abn react-surg proc NEC,1350,-,E_V,E_VE_V,#N/A
,,,,,,V4986,E_V,Do not resusctate status,1327,-,E_V,E_VE_V,#N/A
,,,,,,769,630_679__740_759__760_779,Respiratory distress syn,1314,-,Respiratory distress syn,630_679__740_759__760_779Respiratory distress syn,#N/A
,,,,,,79902,780-799,Hypoxemia,1298,-,Hypoxemia,780-799Hypoxemia,780-799Hypoxemia
,,,,,,70703,680-709,"Pressure ulcer, low back",1289,-,"Pressure ulcer, low back","680-709Pressure ulcer, low back",#N/A
,,,,,,V103,E_V,Hx of breast malignancy,1277,-,E_V,E_VE_V,#N/A
,,,,,,99591,800-999,Sepsis,1271,-,Sepsis,800-999Sepsis,800-999Sepsis
,,,,,,2639,240-279,Protein-cal malnutr NOS,1259,-,Protein-cal malnutr NOS,240-279Protein-cal malnutr NOS,#N/A
,,,,,,99812,800-999,Hematoma complic proc,1224,-,Hematoma complic proc,800-999Hematoma complic proc,#N/A
,,,,,,E8782,E_V,Abn react-anastom/graft,1211,-,E_V,E_VE_V,#N/A
,,,,,,01085,001-139,Prim prg TB NEC-histo dx,2,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01000,001-139,Prim TB complex-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01001,001-139,Prim TB complex-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01002,001-139,Prim TB complex-exm unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01003,001-139,Prim TB complex-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01004,001-139,Prim TB complex-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01005,001-139,Prim TB complex-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01006,001-139,Prim TB complex-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01010,001-139,Prim TB pleurisy-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01011,001-139,Prim TB pleurisy-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01012,001-139,Prim TB pleur-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01013,001-139,Prim TB pleuris-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01014,001-139,Prim TB pleurisy-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01015,001-139,Prim TB pleuris-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01016,001-139,Prim TB pleuris-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01080,001-139,Prim prog TB NEC-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01081,001-139,Prim prog TB NEC-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01082,001-139,Prim pr TB NEC-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01083,001-139,Prim prg TB NEC-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01084,001-139,Prim prog TB NEC-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01086,001-139,Prim prg TB NEC-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01090,001-139,Primary TB NOS-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01091,001-139,Primary TB NOS-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01092,001-139,Primary TB NOS-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01093,001-139,Primary TB NOS-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01094,001-139,Primary TB NOS-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01095,001-139,Primary TB NOS-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01096,001-139,Primary TB NOS-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01190,001-139,Pulmonary TB NOS-unspec,8,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01194,001-139,Pulmon TB NOS-cult dx,2,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01123,001-139,TB lung w cavit-micro dx,1,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01136,001-139,TB of bronchus-oth test,1,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01164,001-139,TB pneumonia-cult dx,1,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01186,001-139,Pulmon TB NEC-oth test,1,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01193,001-139,Pulmon TB NOS-micro dx,1,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01100,001-139,TB lung infiltr-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01101,001-139,TB lung infiltr-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01102,001-139,TB lung infiltr-exm unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01103,001-139,TB lung infiltr-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01104,001-139,TB lung infiltr-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01105,001-139,TB lung infiltr-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01106,001-139,TB lung infiltr-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01110,001-139,TB lung nodular-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01111,001-139,TB lung nodular-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01112,001-139,TB lung nodul-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01113,001-139,TB lung nodular-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01114,001-139,TB lung nodular-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01115,001-139,TB lung nodular-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01116,001-139,TB lung nodular-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01120,001-139,TB lung w cavity-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01121,001-139,TB lung w cavity-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01122,001-139,TB lung cavity-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01124,001-139,TB lung w cavity-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01125,001-139,TB lung w cavit-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01126,001-139,TB lung w cavit-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01130,001-139,TB of bronchus-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01131,001-139,TB of bronchus-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01132,001-139,TB of bronchus-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01133,001-139,TB of bronchus-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01134,001-139,TB of bronchus-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01135,001-139,TB of bronchus-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01140,001-139,TB lung fibrosis-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01141,001-139,TB lung fibrosis-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01142,001-139,TB lung fibros-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01143,001-139,TB lung fibros-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01144,001-139,TB lung fibrosis-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01145,001-139,TB lung fibros-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01146,001-139,TB lung fibros-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01150,001-139,TB bronchiectasis-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01151,001-139,TB bronchiect-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01152,001-139,TB bronchiect-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01153,001-139,TB bronchiect-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01154,001-139,TB bronchiect-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01155,001-139,TB bronchiect-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01156,001-139,TB bronchiect-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01160,001-139,TB pneumonia-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01161,001-139,TB pneumonia-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01162,001-139,TB pneumonia-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01163,001-139,TB pneumonia-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01165,001-139,TB pneumonia-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01166,001-139,TB pneumonia-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01170,001-139,TB pneumothorax-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01171,001-139,TB pneumothorax-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01172,001-139,TB pneumothorx-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01173,001-139,TB pneumothorax-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01174,001-139,TB pneumothorax-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01175,001-139,TB pneumothorax-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01176,001-139,TB pneumothorax-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01180,001-139,Pulmonary TB NEC-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01181,001-139,Pulmonary TB NEC-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01182,001-139,Pulmon TB NEC-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01183,001-139,Pulmon TB NEC-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01184,001-139,Pulmon TB NEC-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01185,001-139,Pulmon TB NEC-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01191,001-139,Pulmonary TB NOS-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01192,001-139,Pulmon TB NOS-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01195,001-139,Pulmon TB NOS-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01196,001-139,Pulmon TB NOS-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01205,001-139,TB pleurisy-histolog dx,1,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01215,001-139,TB thorax node-histo dx,1,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01200,001-139,TB pleurisy-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01201,001-139,TB pleurisy-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01202,001-139,TB pleurisy-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01203,001-139,TB pleurisy-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01204,001-139,TB pleurisy-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01206,001-139,TB pleurisy-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01210,001-139,TB thoracic nodes-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01211,001-139,TB thorax node-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01212,001-139,TB thorax node-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01213,001-139,TB thorax node-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01214,001-139,TB thorax node-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01216,001-139,TB thorax node-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01220,001-139,Isol tracheal tb-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01221,001-139,Isol tracheal tb-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01222,001-139,Isol trach tb-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01223,001-139,Isolat trach tb-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01224,001-139,Isol tracheal tb-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01225,001-139,Isolat trach tb-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01226,001-139,Isolat trach tb-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01230,001-139,TB laryngitis-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01231,001-139,TB laryngitis-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01232,001-139,TB laryngitis-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01233,001-139,TB laryngitis-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01234,001-139,TB laryngitis-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01235,001-139,TB laryngitis-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01236,001-139,TB laryngitis-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01280,001-139,Resp TB NEC-unspec,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01281,001-139,Resp TB NEC-no exam,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01282,001-139,Resp TB NEC-exam unkn,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01283,001-139,Resp TB NEC-micro dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01284,001-139,Resp TB NEC-cult dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01285,001-139,Resp TB NEC-histo dx,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01286,001-139,Resp TB NEC-oth test,0,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01300,001-139,TB meningitis-unspec,3,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01325,001-139,Tubrcloma brain-histo dx,2,-,Tuberculosis,001-139Tuberculosis,#N/A
,,,,,,01304,001-139,TB meningitis-cult dx,1,-,Tuberculosis,001-139Tuberculosis,#N/A
